Seniūnija,Rūšis,Objektas,Administratorius,Adresas,Paskirtis,Sezoniškumas,Būklė,Įrengimo/ renovacijos data,Užimtumas
Aleksotas,Vidaus,Sporto salė,Kauno Jurgio Dobkevičiaus progimnazija,V. Čepinskio g. 7,"Futbolas, krepšinis",yra,gera,2009 m.,mokyklos reikmėms d.d. 8.00 - 15.00 val. Išnuomota I-V 15.30 - 21.45 val.; VI-VII  10.00-20.00 val.
Aleksotas,Lauko,Stadionas,Kauno Jurgio Dobkevičiaus progimnazija,V. Čepinskio g. 7,Futbolas,yra,gera,,mokyklos reikmėms d.d. 8.00 - 16.00 val. 
Aleksotas,Lauko,Dirbtinės dangos futbolo aikštelė,Prezidento Valdo Adamkaus gimnazija,Bitininkų g. 31,Futbolas,yra ,Renovuotina,2009 m.,"Gimnazijos reikmėms d.d. 8.00 - 19.00 val. Aleksoto bendruomenės užsiėmimams 19.00 - 22.00 val., ir savaitgaliais."
Aleksotas,Lauko,Stadionas,Prezidento Valdo Adamkaus gimnazija,Bitininkų g. 31,"Futbolas, lengvoji atletika, kvadratas",yra ,Gera,2018 m.,"Gimnazijos reikmėms d.d. 8.00 - 19.00 val.Aleksoto bendruomenės užsiėmimams 19.00 - 22.00 val., ir savaitgaliais."
Aleksotas,Lauko,Daugiafunkcinė krepšinio aikštelė,Prezidento Valdo Adamkaus gimnazija,Bitininkų g. 31,"Krepšinis, tenisas, tinklinis",yra ,Gera,2018 m.,"Gimnazijos reikmėms d.d. 8.00 - 19.00 val.Aleksoto bendruomenės užsiėmimams 19.00 - 22.00 val., ir savaitgaliais."
Aleksotas,Lauko,Treniruoklių aikštelė,Prezidento Valdo Adamkaus gimnazija,Bitininkų g. 31,Įvairūs treniruokliai visoms raumenų grupėms,yra ,Gera,2017 m.,"Gimnazijos reikmėms d.d. 8.00 - 17.00 val.Aleksoto bendruomenės užsiėmimams 17.00 - 22.00 val., ir savaitgaliais."
Aleksotas,Lauko,Vaikų žaidimo aikštelė,Prezidento Valdo Adamkaus gimnazija,Bitininkų g. 31,"Piramidė, čiužimo kalnelis, sporto kompleksas, kompleksinis įrenginys 6-12 m. vaikams",yra ,Gera,2017 m.,"Gimnazijos reikmėms d.d. 8.00 - 17.00 val.Aleksoto bendruomenės užsiėmimams 17.00 - 22.00 val., ir savaitgaliais."
Aleksotas,Vidaus,Sporto salė,Prezidento Valdo Adamkaus gimnazija,Bitininkų g. 31,Krepšinis,nėra,Gera,2016 m.,Gimnazijos reikmėms d.d. 8.00 - 20.00 val. Savaitgaliais ir švenčių dienomis įstaiga nedirba.
Aleksotas,Lauko,Krepšinio aikštelė pradinukams,Tirkiliškių mokykla-darželis,"M. Yčo g. 2, Kaunas",krepšinis pradinukams,yra ,Gera,2017 m.,mokyklos reikmėms d.d. 8.00-15.00 val.
Aleksotas,Lauko,Stadionas,Tirkiliškių mokykla-darželis,"M. Yčo g. 2, Kaunas",Futbolas,yra ,renovuotina,1977 m.,mokyklos ir bendruomenės reikmėms 
Centras,Lauko,Krepšinio aikštelė,",,Aušros"" gimnazija",Laisvės al. 95,krepšinis,yra ,gera,2012 m.,Gimnazijos reikmėms d.d. nuo 8.00 - 15.00 val. 
Centras,Vidaus,Tinklinio salė,",,Aušros"" gimnazija",Laisvės al. 95,tinklinis,nėra,gera,2009 m.,Gimnazijos reikmėms d.d. nuo 8.00 - 16.00 val. Išnuomuota nuo 16.20 val. iki 20.30 val.
Centras,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",KAUNO ALEKSANDRO PUŠKINO GIMNAZIJA,VYTAUTO PR. 50,bendras fizinis rengimas,nėra,prasta,"TRENIRUOKLIŲ NETURIME, GIMNAZSTIKOS ĮRENGIMAI SENI.","mokyklos reikmėms, gyventojų reikmėms"
Centras,Lauko,Stadionas,KAUNO ALEKSANDRO PUŠKINO GIMNAZIJA,VYTAUTO PR. 50,lengvoji atletika,yra ,labai prasta,"renovacijos nebuvo, 1966 statyba.","mokyklos reikmėms, gyventojų reimėms"
Centras,Lauko,Krepšinio aikštelė,KAUNO ALEKSANDRO PUŠKINO GIMNAZIJA,VYTAUTO PR. 50,krepšinis,nėra,"krepšinio stovai, lentos, lankai - gera, pagrindas geras, danga - prasta",renovacijos nebuvo.,mokyklos ir centro gyventojų reikmėms.
Centras,Vidaus,treniruoklių salė,KAUNO ALEKSANDRO PUŠKINO GIMNAZIJA,VYTAUTO PR. 50,kūno rengyba,nėra,puiki,2008-2010 mokyklos pusrūsio patalpos pritaikytos sporto reikmėms,"mokyklos reikmėms, nuomojama Jaunalietuvioų sporto organizacijai"
